commodityCode,countryCode,marketYear,calendarYear,month,attributeId,unitId,commodityName,attributeName,unitDescription,countryName,regionName,value
0440000,BK,2024,2024,08,86,8,Corn,Total Supply,(1000 MT),Bosnia and Herzegovina,Other Europe,1330
0440000,BK,2024,2024,08,88,8,Corn,Exports,(1000 MT),Bosnia and Herzegovina,Other Europe,5
0440000,BK,2024,2024,08,113,8,Corn,TY Exports,(1000 MT),Bosnia and Herzegovina,Other Europe,5
0440000,BK,2024,2024,08,130,8,Corn,Feed Dom. Consumption,(1000 MT),Bosnia and Herzegovina,Other Europe,1110
0440000,BK,2024,2024,08,192,8,Corn,FSI Consumption,(1000 MT),Bosnia and Herzegovina,Other Europe,100
0440000,BK,2024,2024,08,125,8,Corn,Domestic Consumption,(1000 MT),Bosnia and Herzegovina,Other Europe,1210
0440000,BK,2024,2024,08,176,8,Corn,Ending Stocks,(1000 MT),Bosnia and Herzegovina,Other Europe,115
0440000,BK,2024,2024,08,178,8,Corn,Total Distribution,(1000 MT),Bosnia and Herzegovina,Other Europe,1330
0440000,BK,2024,2024,08,184,26,Corn,Yield,(MT/HA),Bosnia and Herzegovina,Other Europe,6.8
0440000,BL,2024,2024,08,4,4,Corn,Area Harvested,(1000 HA),Bolivia,South America,420
0440000,BL,2024,2024,08,20,8,Corn,Beginning Stocks,(1000 MT),Bolivia,South America,119
0440000,BL,2024,2024,08,28,8,Corn,Production,(1000 MT),Bolivia,South America,1075
0440000,BL,2024,2024,08,57,8,Corn,Imports,(1000 MT),Bolivia,South America,25
0440000,BL,2024,2024,08,81,8,Corn,TY Imports,(1000 MT),Bolivia,South America,25
0440000,BL,2024,2024,08,84,8,Corn,TY Imp. from U.S.,(1000 MT),Bolivia,South America,0
0440000,BL,2024,2024,08,86,8,Corn,Total Supply,(1000 MT),Bolivia,South America,1219
0440000,BL,2024,2024,08,88,8,Corn,Exports,(1000 MT),Bolivia,South America,5
0440000,BL,2024,2024,08,113,8,Corn,TY Exports,(1000 MT),Bolivia,South America,5
0440000,BL,2024,2024,08,130,8,Corn,Feed Dom. Consumption,(1000 MT),Bolivia,South America,750
0440000,BL,2024,2024,08,192,8,Corn,FSI Consumption,(1000 MT),Bolivia,South America,350
0440000,BL,2024,2024,08,125,8,Corn,Domestic Consumption,(1000 MT),Bolivia,South America,1100
0440000,BL,2024,2024,08,176,8,Corn,Ending Stocks,(1000 MT),Bolivia,South America,114
0440000,BL,2024,2024,08,178,8,Corn,Total Distribution,(1000 MT),Bolivia,South America,1219
0440000,BL,2024,2024,08,184,26,Corn,Yield,(MT/HA),Bolivia,South America,2.5595
0440000,BM,2024,2024,08,4,4,Corn,Area Harvested,(1000 HA),Burma,Southeast Asia,595
0440000,BM,2024,2024,08,20,8,Corn,Beginning Stocks,(1000 MT),Burma,Southeast Asia,84
0440000,BM,2024,2024,08,28,8,Corn,Production,(1000 MT),Burma,Southeast Asia,2400
0440000,BM,2024,2024,08,57,8,Corn,Imports,(1000 MT),Burma,Southeast Asia,10
0440000,BM,2024,2024,08,81,8,Corn,TY Imports,(1000 MT),Burma,Southeast Asia,10
0440000,BM,2024,2024,08,84,8,Corn,TY Imp. from U.S.,(1000 MT),Burma,Southeast Asia,0
0440000,BM,2024,2024,08,86,8,Corn,Total Supply,(1000 MT),Burma,Southeast Asia,2494
0440000,BM,2024,2024,08,88,8,Corn,Exports,(1000 MT),Burma,Southeast Asia,1800
0440000,BM,2024,2024,08,113,8,Corn,TY Exports,(1000 MT),Burma,Southeast Asia,1800
0440000,BM,2024,2024,08,130,8,Corn,Feed Dom. Consumption,(1000 MT),Burma,Southeast Asia,500
0440000,BM,2024,2024,08,192,8,Corn,FSI Consumption,(1000 MT),Burma,Southeast Asia,50
0440000,BM,2024,2024,08,125,8,Corn,Domestic Consumption,(1000 MT),Burma,Southeast Asia,550
0440000,BM,2024,2024,08,176,8,Corn,Ending Stocks,(1000 MT),Burma,Southeast Asia,144
0440000,BM,2024,2024,08,178,8,Corn,Total Distribution,(1000 MT),Burma,Southeast Asia,2494
0440000,BM,2024,2024,08,184,26,Corn,Yield,(MT/HA),Burma,Southeast Asia,4.0336
0440000,BO,2024,2024,08,4,4,Corn,Area Harvested,(1000 HA),Belarus,Former Soviet Union - 12,240
0440000,BO,2024,2024,08,20,8,Corn,Beginning Stocks,(1000 MT),Belarus,Former Soviet Union - 12,129
0440000,BO,2024,2024,08,28,8,Corn,Production,(1000 MT),Belarus,Former Soviet Union - 12,1300
0440000,BO,2024,2024,08,57,8,Corn,Imports,(1000 MT),Belarus,Former Soviet Union - 12,25
0440000,BO,2024,2024,08,81,8,Corn,TY Imports,(1000 MT),Belarus,Former Soviet Union - 12,25
0440000,BO,2024,2024,08,84,8,Corn,TY Imp. from U.S.,(1000 MT),Belarus,Former Soviet Union - 12,0
0440000,BO,2024,2024,08,86,8,Corn,Total Supply,(1000 MT),Belarus,Former Soviet Union - 12,1454
0440000,BO,2024,2024,08,88,8,Corn,Exports,(1000 MT),Belarus,Former Soviet Union - 12,25
0440000,BO,2024,2024,08,113,8,Corn,TY Exports,(1000 MT),Belarus,Former Soviet Union - 12,25
0440000,BO,2024,2024,08,130,8,Corn,Feed Dom. Consumption,(1000 MT),Belarus,Former Soviet Union - 12,1200
0440000,BO,2024,2024,08,192,8,Corn,FSI Consumption,(1000 MT),Belarus,Former Soviet Union - 12,100
0440000,BO,2024,2024,08,125,8,Corn,Domestic Consumption,(1000 MT),Belarus,Former Soviet Union - 12,1300
0440000,BO,2024,2024,08,176,8,Corn,Ending Stocks,(1000 MT),Belarus,Former Soviet Union - 12,129
0440000,BO,2024,2024,08,178,8,Corn,Total Distribution,(1000 MT),Belarus,Former Soviet Union - 12,1454
0440000,BO,2024,2024,08,184,26,Corn,Yield,(MT/HA),Belarus,Former Soviet Union - 12,5.4167
0440000,BR,2024,2024,08,4,4,Corn,Area Harvested,(1000 HA),Brazil,South America,22300
0440000,BR,2024,2024,08,20,8,Corn,Beginning Stocks,(1000 MT),Brazil,South America,3841
0440000,BR,2024,2024,08,28,8,Corn,Production,(1000 MT),Brazil,South America,127000
0440000,BR,2024,2024,08,57,8,Corn,Imports,(1000 MT),Brazil,South America,1500
0440000,BR,2024,2024,08,81,8,Corn,TY Imports,(1000 MT),Brazil,South America,1400
0440000,BR,2024,2024,08,84,8,Corn,TY Imp. from U.S.,(1000 MT),Brazil,South America,0
0440000,BR,2024,2024,08,86,8,Corn,Total Supply,(1000 MT),Brazil,South America,132341
0440000,BR,2024,2024,08,88,8,Corn,Exports,(1000 MT),Brazil,South America,49000
0440000,BR,2024,2024,08,113,8,Corn,TY Exports,(1000 MT),Brazil,South America,51000
0440000,BR,2024,2024,08,130,8,Corn,Feed Dom. Consumption,(1000 MT),Brazil,South America,64000
0440000,BR,2024,2024,08,192,8,Corn,FSI Consumption,(1000 MT),Brazil,South America,16500
0440000,BR,2024,2024,08,125,8,Corn,Domestic Consumption,(1000 MT),Brazil,South America,80500
0440000,BR,2024,2024,08,176,8,Corn,Ending Stocks,(1000 MT),Brazil,South America,2841
0440000,BR,2024,2024,08,178,8,Corn,Total Distribution,(1000 MT),Brazil,South America,132341
0440000,BR,2024,2024,08,184,26,Corn,Yield,(MT/HA),Brazil,South America,5.6951
0440000,BT,2024,2024,08,4,4,Corn,Area Harvested,(1000 HA),Bhutan,South Asia,8
0440000,BT,2024,2024,08,20,8,Corn,Beginning Stocks,(1000 MT),Bhutan,South Asia,0
0440000,BT,2024,2024,08,28,8,Corn,Production,(1000 MT),Bhutan,South Asia,31
0440000,BT,2024,2024,08,57,8,Corn,Imports,(1000 MT),Bhutan,South Asia,20
0440000,BT,2024,2024,08,81,8,Corn,TY Imports,(1000 MT),Bhutan,South Asia,20
0440000,BT,2024,2024,08,84,8,Corn,TY Imp. from U.S.,(1000 MT),Bhutan,South Asia,0
0440000,BT,2024,2024,08,86,8,Corn,Total Supply,(1000 MT),Bhutan,South Asia,51
0440000,BT,2024,2024,08,88,8,Corn,Exports,(1000 MT),Bhutan,South Asia,0
0440000,BT,2024,2024,08,113,8,Corn,TY Exports,(1000 MT),Bhutan,South Asia,0
0440000,BT,2024,2024,08,130,8,Corn,Feed Dom. Consumption,(1000 MT),Bhutan,South Asia,0
0440000,BT,2024,2024,08,192,8,Corn,FSI Consumption,(1000 MT),Bhutan,South Asia,51
0440000,BT,2024,2024,08,125,8,Corn,Domestic Consumption,(1000 MT),Bhutan,South Asia,51
0440000,BT,2024,2024,08,176,8,Corn,Ending Stocks,(1000 MT),Bhutan,South Asia,0
0440000,BT,2024,2024,08,178,8,Corn,Total Distribution,(1000 MT),Bhutan,South Asia,51
0440000,BT,2024,2024,08,184,26,Corn,Yield,(MT/HA),Bhutan,South Asia,3.875
0440000,BY,2024,2024,08,4,4,Corn,Area Harvested,(1000 HA),Burundi,Sub-Saharan Africa,180
0440000,BY,2024,2024,08,20,8,Corn,Beginning Stocks,(1000 MT),Burundi,Sub-Saharan Africa,6
0440000,BY,2024,2024,08,28,8,Corn,Production,(1000 MT),Burundi,Sub-Saharan Africa,280
0440000,BY,2024,2024,08,57,8,Corn,Imports,(1000 MT),Burundi,Sub-Saharan Africa,10
0440000,BY,2024,2024,08,81,8,Corn,TY Imports,(1000 MT),Burundi,Sub-Saharan Africa,10
0440000,BY,2024,2024,08,84,8,Corn,TY Imp. from U.S.,(1000 MT),Burundi,Sub-Saharan Africa,0
0440000,BY,2024,2024,08,86,8,Corn,Total Supply,(1000 MT),Burundi,Sub-Saharan Africa,296
0440000,BY,2024,2024,08,88,8,Corn,Exports,(1000 MT),Burundi,Sub-Saharan Africa,0
0440000,BY,2024,2024,08,113,8,Corn,TY Exports,(1000 MT),Burundi,Sub-Saharan Africa,0
0440000,BY,2024,2024,08,130,8,Corn,Feed Dom. Consumption,(1000 MT),Burundi,Sub-Saharan Africa,10
0440000,BY,2024,2024,08,192,8,Corn,FSI Consumption,(1000 MT),Burundi,Sub-Saharan Africa,280
0440000,BY,2024,2024,08,125,8,Corn,Domestic Consumption,(1000 MT),Burundi,Sub-Saharan Africa,290
0440000,BY,2024,2024,08,176,8,Corn,Ending Stocks,(1000 MT),Burundi,Sub-Saharan Africa,6
0440000,BY,2024,2024,08,178,8,Corn,Total Distribution,(1000 MT),Burundi,Sub-Saharan Africa,296
0440000,BY,2024,2024,08,184,26,Corn,Yield,(MT/HA),Burundi,Sub-Saharan Africa,1.5556
0440000,CA,2024,2024,08,4,4,Corn,Area Harvested,(1000 HA),Canada,North America,1450
0440000,CA,2024,2024,08,20,8,Corn,Beginning Stocks,(1000 MT),Canada,North America,1604
0440000,CA,2024,2024,08,28,8,Corn,Production,(1000 MT),Canada,North America,14500
0440000,CA,2024,2024,08,57,8,Corn,Imports,(1000 MT),Canada,North America,2700
0440000,CA,2024,2024,08,81,8,Corn,TY Imports,(1000 MT),Canada,North America,2700
0440000,CA,2024,2024,08,84,8,Corn,TY Imp. from U.S.,(1000 MT),Canada,North America,0
0440000,CA,2024,2024,08,86,8,Corn,Total Supply,(1000 MT),Canada,North America,18804
0440000,CA,2024,2024,08,88,8,Corn,Exports,(1000 MT),Canada,North America,1700
0440000,CA,2024,2024,08,113,8,Corn,TY Exports,(1000 MT),Canada,North America,1700
0440000,CA,2024,2024,08,130,8,Corn,Feed Dom. Consumption,(1000 MT),Canada,North America,10000
0440000,CA,2024,2024,08,192,8,Corn,FSI Consumption,(1000 MT),Canada,North America,5500
0440000,CA,2024,2024,08,125,8,Corn,Domestic Consumption,(1000 MT),Canada,North America,15500
0440000,CA,2024,2024,08,176,8,Corn,Ending Stocks,(1000 MT),Canada,North America,1604
0440000,CA,2024,2024,08,178,8,Corn,Total Distribution,(1000 MT),Canada,North America,18804
0440000,CA,2024,2024,08,184,26,Corn,Yield,(MT/HA),Canada,North America,10
0440000,CB,2024,2024,08,4,4,Corn,Area Harvested,(1000 HA),Cambodia,Southeast Asia,240
0440000,CB,2024,2024,08,20,8,Corn,Beginning Stocks,(1000 MT),Cambodia,Southeast Asia,148
0440000,CB,2024,2024,08,28,8,Corn,Production,(1000 MT),Cambodia,Southeast Asia,1340
0440000,CB,2024,2024,08,57,8,Corn,Imports,(1000 MT),Cambodia,Southeast Asia,100
0440000,CB,2024,2024,08,81,8,Corn,TY Imports,(1000 MT),Cambodia,Southeast Asia,100
0440000,CB,2024,2024,08,84,8,Corn,TY Imp. from U.S.,(1000 MT),Cambodia,Southeast Asia,0
0440000,CB,2024,2024,08,86,8,Corn,Total Supply,(1000 MT),Cambodia,Southeast Asia,1588
0440000,CB,2024,2024,08,88,8,Corn,Exports,(1000 MT),Cambodia,Southeast Asia,600
0440000,CB,2024,2024,08,113,8,Corn,TY Exports,(1000 MT),Cambodia,Southeast Asia,600
